"Story","Title","Result","Date","Stability","Duration (s)"
"Validate login with different users admin","Log into the GSA website as createDepartment","SUCCESS","2019-04-30T12:56:01.053-04:00[America/New_York]","0.0","146.48"
"Validate login with different users admin","Log into the GSA website as DepartAdmin","SUCCESS","2019-04-30T13:00:09.096-04:00[America/New_York]","0.0","81.77"
"Validate login with different users admin","Log into the GSA website as SubTierAdmin","SUCCESS","2019-04-30T13:02:39.169-04:00[America/New_York]","0.0","84.48"
"Validate login with different users admin","Log into the GSA website as officeAdmin","SUCCESS","2019-04-30T13:05:07.411-04:00[America/New_York]","0.0","73.81"
"Validate error meaasage in sub tier page","Log into the GSA website","SUCCESS","2019-04-30T13:07:30.907-04:00[America/New_York]","0.0","127.2"
"Editing Request Office Page","Log into the GSA website as createDepartment","SUCCESS","2019-04-30T13:14:40.56-04:00[America/New_York]","0.0","85.9"
"Create and Editing department and sub tier","Log into the GSA website","ERROR","2019-04-30T13:30:14.244-04:00[America/New_York]","0.0","12.12"
"Validate error meaasage in create department and sub tier page","Log into the GSA website","SUCCESS","2019-04-30T13:37:46.726-04:00[America/New_York]","0.0","118.09"
"Editing request office page negative scenarios.","Log into the GSA website as createDepartment","ERROR","2019-04-30T13:46:07.222-04:00[America/New_York]","0.0","124.92"
"Validate error meaasage in office page","Log into the GSA website as createDepartment","SUCCESS","2019-04-30T13:49:16.492-04:00[America/New_York]","0.0","74.42"
